player_name,primary_position,primary_competition,sub_group,fm_role,total_events,role_fit_score,role_fit_rank,pass_completion_rate_adj,pressure_pass_rate_adj,broad_position,avg_carry_dist_adj,avg_pass_length_adj,progressive_pass_rate_adj,duel_win_rate_adj,duel_per_100_adj,under_pressure_rate_adj,switch_rate_adj,cross_rate_adj,final_third_rate_adj,dribble_success_rate_adj,carry_per_100_adj,shot_assist_rate_adj,shot_per_100_adj,avg_xg_per_shot_adj,dribble_per_100_adj,shot_on_target_rate_adj
Kinga Szemik,Goalkeeper,UEFA Women's Euro,,,208,82.5,1,0.7955977421327453,0.2192210720458407,Goalkeeper,,,,,,,,,,,,,,,,
Cecilía Rán Rúnarsdóttir,Goalkeeper,UEFA Women's Euro,,,227,82.4,2,0.8270708115681767,0.2033223050114475,Goalkeeper,,,,,,,,,,,,,,,,
Catalina Thomas Coll Lluch,Goalkeeper,Women's World Cup,,,330,72.1,3,0.8370017840290976,0.1539407731178297,Goalkeeper,,,,,,,,,,,,,,,,
Predrag Rajković,Goalkeeper,UEFA Euro,,,233,68.9,4,0.6635082190528093,0.2270089069591554,Goalkeeper,,,,,,,,,,,,,,,,
Jasper Cillessen,Goalkeeper,La Liga,,,266,67.1,5,0.8495190670743549,0.1262919194954454,Goalkeeper,,,,,,,,,,,,,,,,
Marc-André ter Stegen,Goalkeeper,La Liga,,,9604,66.3,6,0.8592480938692499,0.1182433701295307,Goalkeeper,,,,,,,,,,,,,,,,
Mike Maignan,Goalkeeper,UEFA Euro,,,412,62.9,7,0.7168861210192262,0.1745972390302911,Goalkeeper,,,,,,,,,,,,,,,,
Alexander Nübel,Goalkeeper,1. Bundesliga,,,270,62.1,8,0.7858987436347961,0.1365689279931701,Goalkeeper,,,,,,,,,,,,,,,,
Ellie Roebuck,Goalkeeper,FA Women's Super League,,,3380,60.5,9,0.9309284401838376,0.0574447311008606,Goalkeeper,,,,,,,,,,,,,,,,
Lydia Grace Yilkari Williams,Goalkeeper,FA Women's Super League,,,1128,60.5,9,0.9137114823095782,0.06608981643111,Goalkeeper,,,,,,,,,,,,,,,,
Manuela Zinsberger,Goalkeeper,FA Women's Super League,,,2319,59.8,11,0.877651996304754,0.081022053056303,Goalkeeper,,,,,,,,,,,,,,,,
Bart Verbruggen,Goalkeeper,UEFA Euro,,,339,59.6,12,0.7822779000223059,0.1279599550204805,Goalkeeper,,,,,,,,,,,,,,,,
Nicky Evrard,Goalkeeper,UEFA Women's Euro,,,272,59.5,13,0.83251975731563,0.1023588682271151,Goalkeeper,,,,,,,,,,,,,,,,
Tinja-Riikka Tellervo Korpela,Goalkeeper,FA Women's Super League,,,1313,59.5,13,0.8696840699125301,0.0836323601639818,Goalkeeper,,,,,,,,,,,,,,,,
Diogo Meireles Costa,Goalkeeper,FIFA World Cup,,,480,58.7,15,0.7494150234725478,0.140239282418637,Goalkeeper,,,,,,,,,,,,,,,,
Alisson Ramsés Becker,Goalkeeper,FIFA World Cup,,,508,58.0,16,0.7991778272289618,0.1124437552620875,Goalkeeper,,,,,,,,,,,,,,,,
Manuel Neuer,Goalkeeper,1. Bundesliga,,,3047,57.1,17,0.8457820999624017,0.0854024912692268,Goalkeeper,,,,,,,,,,,,,,,,
Ayaka Yamashita,Goalkeeper,Women's World Cup,,,343,56.9,18,0.8687590176211936,0.0732685783401304,Goalkeeper,,,,,,,,,,,,,,,,
Norberto Murara Neto,Goalkeeper,La Liga,,,593,56.9,18,0.8452076898288459,0.085019464405625,Goalkeeper,,,,,,,,,,,,,,,,
Unai Simón Mendibil,Goalkeeper,UEFA Euro,,,1240,56.8,20,0.7602472426365768,0.1268114074283285,Goalkeeper,,,,,,,,,,,,,,,,
Patrick Pentz,Goalkeeper,UEFA Euro,,,246,56.5,21,0.7662622111842604,0.1224034915460566,Goalkeeper,,,,,,,,,,,,,,,,
Daniel Bachmann,Goalkeeper,UEFA Euro,,,250,56.3,22,0.7229897297779048,0.1431382222199353,Goalkeeper,,,,,,,,,,,,,,,,
Bárbara Micheline do Monte Barbosa,Goalkeeper,Women's World Cup,,,222,55.9,23,0.920465938921824,0.0429059745830312,Goalkeeper,,,,,,,,,,,,,,,,
Damián Emiliano Martínez,Goalkeeper,Copa America,,,655,55.7,24,0.7053269802904228,0.1494238635301989,Goalkeeper,,,,,,,,,,,,,,,,
Claudio Andrés Bravo Muñoz,Goalkeeper,La Liga,,,3688,55.6,25,0.7988651951142581,0.1021600563717984,Goalkeeper,,,,,,,,,,,,,,,,
Drake Callender,Goalkeeper,Major League Soccer,,,233,55.4,26,0.689433756710082,0.1558748934708779,Goalkeeper,,,,,,,,,,,,,,,,
Ann-Katrin Berger,Goalkeeper,FA Women's Super League,,,2948,55.1,27,0.8184954360001895,0.0903630789992364,Goalkeeper,,,,,,,,,,,,,,,,
Amrinder Singh,Goalkeeper,Indian Super league,,,1008,53.8,28,0.7832426363668328,0.1022546798009595,Goalkeeper,,,,,,,,,,,,,,,,
Carly Mitchell Telford,Goalkeeper,FA Women's Super League,,,914,53.7,29,0.8949490615979565,0.04617039792459,Goalkeeper,,,,,,,,,,,,,,,,
Gianluigi Donnarumma,Goalkeeper,Ligue 1,,,3546,53.1,30,0.791820075359202,0.0950939445828092,Goalkeeper,,,,,,,,,,,,,,,,
Kevin Trapp,Goalkeeper,Ligue 1,,,1392,53.0,31,0.8286379116372783,0.076272052213889,Goalkeeper,,,,,,,,,,,,,,,,
Alejandro Remiro Gargallo,Goalkeeper,La Liga,,,247,52.8,32,0.7759083267715211,0.101691438927918,Goalkeeper,,,,,,,,,,,,,,,,
José Manuel Pinto Colorado,Goalkeeper,La Liga,,,1050,52.7,33,0.793355837976994,0.092519464405625,Goalkeeper,,,,,,,,,,,,,,,,
Koen Casteels,Goalkeeper,1. Bundesliga,,,1065,50.1,34,0.7445472030185496,0.1057916170688003,Goalkeeper,,,,,,,,,,,,,,,,
Gaëlle Thalmann,Goalkeeper,Women's World Cup,,,432,48.8,35,0.8114523334796471,0.066715498392555,Goalkeeper,,,,,,,,,,,,,,,,
Andries Noppert,Goalkeeper,FIFA World Cup,,,284,48.7,36,0.7726825075399248,0.0857421845814592,Goalkeeper,,,,,,,,,,,,,,,,
Diego Orlando Benaglio,Goalkeeper,1. Bundesliga,,,1153,48.5,37,0.8102467092876329,0.0659967427752903,Goalkeeper,,,,,,,,,,,,,,,,
Mary Alexandra Earps,Goalkeeper,FA Women's Super League,,,2624,48.4,38,0.8126971850341533,0.0644244985640117,Goalkeeper,,,,,,,,,,,,,,,,
Dominik Livaković,Goalkeeper,FIFA World Cup,,,681,48.2,39,0.7373596454107799,0.1013326441509763,Goalkeeper,,,,,,,,,,,,,,,,
Josimar José Évora Dias,Goalkeeper,African Cup of Nations,,,298,48.2,39,0.6548037983338495,0.1425636568555802,Goalkeeper,,,,,,,,,,,,,,,,
Daphne van Domselaar,Goalkeeper,UEFA Women's Euro,,,576,47.7,41,0.7664437144954012,0.0845171061993066,Goalkeeper,,,,,,,,,,,,,,,,
Yassine Bounou,Goalkeeper,FIFA World Cup,,,710,47.7,41,0.6975549034303058,0.1191383159315435,Goalkeeper,,,,,,,,,,,,,,,,
Jacqueline Burns,Goalkeeper,UEFA Women's Euro,,,240,47.1,43,0.679561604357477,0.125206391074638,Goalkeeper,,,,,,,,,,,,,,,,
Edouard Mendy,Goalkeeper,African Cup of Nations,,,383,47.1,43,0.7477479527397979,0.0913059444682997,Goalkeeper,,,,,,,,,,,,,,,,
Anton Ciprian Tătărușanu,Goalkeeper,Serie A,,,1707,47.0,45,0.7562414735924773,0.0866486478109754,Goalkeeper,,,,,,,,,,,,,,,,
Laura Giuliani,Goalkeeper,UEFA Women's Euro,,,682,46.5,46,0.7685424924650027,0.0782489816718137,Goalkeeper,,,,,,,,,,,,,,,,
Gianluigi Buffon,Goalkeeper,Serie A,,,1351,46.3,47,0.80560953087157,0.0589463922962833,Goalkeeper,,,,,,,,,,,,,,,,
Pauline Peyraud Magnin,Goalkeeper,FA Women's Super League,,,1574,45.8,48,0.8250204173573856,0.0472032292672707,Goalkeeper,,,,,,,,,,,,,,,,
Sari van Veenendaal,Goalkeeper,FA Women's Super League,,,613,45.7,49,0.8771395467961027,0.02095995623349,Goalkeeper,,,,,,,,,,,,,,,,
Rachael Laws,Goalkeeper,FA Women's Super League,,,379,45.6,50,0.7066312858678174,0.1053587317253191,Goalkeeper,,,,,,,,,,,,,,,,
Grace Moloney,Goalkeeper,FA Women's Super League,,,3108,45.4,51,0.8024167940470486,0.0566117930127903,Goalkeeper,,,,,,,,,,,,,,,,
Ronwen Williams,Goalkeeper,African Cup of Nations,,,500,45.1,52,0.6778493242365182,0.1176029033233981,Goalkeeper,,,,,,,,,,,,,,,,
Yann Sommer,Goalkeeper,1. Bundesliga,,,3091,44.6,53,0.7411976607539129,0.0840507049976996,Goalkeeper,,,,,,,,,,,,,,,,
Péter Gulácsi,Goalkeeper,UEFA Euro,,,299,44.2,54,0.7254780347445615,0.0900212055317033,Goalkeeper,,,,,,,,,,,,,,,,
Merle Frohms,Goalkeeper,UEFA Women's Euro,,,487,44.1,55,0.8085256635540944,0.0483413956049914,Goalkeeper,,,,,,,,,,,,,,,,
Yahia Fofana,Goalkeeper,African Cup of Nations,,,236,43.9,56,0.6657455244218751,0.1183443305708495,Goalkeeper,,,,,,,,,,,,,,,,
Alexandra MacIver,Goalkeeper,FA Women's Super League,,,1547,43.6,57,0.8202099046271263,0.0402531120483802,Goalkeeper,,,,,,,,,,,,,,,,
José Manuel Reina Páez,Goalkeeper,Serie A,,,1707,43.3,58,0.8072291371625502,0.0454751886160898,Goalkeeper,,,,,,,,,,,,,,,,
Jordan Pickford,Goalkeeper,UEFA Euro,,,1640,43.3,58,0.6225281443655297,0.137632258485544,Goalkeeper,,,,,,,,,,,,,,,,
Camilo Andrés Vargas Gil,Goalkeeper,Copa America,,,310,42.7,60,0.6300760284039569,0.1309745731182917,Goalkeeper,,,,,,,,,,,,,,,,
Sergio Rochet Álvarez,Goalkeeper,Copa America,,,318,42.5,61,0.6552920396894445,0.1178375602457824,Goalkeeper,,,,,,,,,,,,,,,,
Aurora Watten Mikalsen,Goalkeeper,FA Women's Super League,,,438,42.3,62,0.7785351565864106,0.0554820124786685,Goalkeeper,,,,,,,,,,,,,,,,
Daniele Padelli,Goalkeeper,Serie A,,,1519,42.2,63,0.7252874638233539,0.0813501541595837,Goalkeeper,,,,,,,,,,,,,,,,
Sergio Germán Romero,Goalkeeper,Premier League,,,223,42.2,63,0.6507366961467909,0.1189111731366279,Goalkeeper,,,,,,,,,,,,,,,,
Juan Carlos Martín Corral,Goalkeeper,La Liga,,,1196,41.9,65,0.7021020997667341,0.0920225699956871,Goalkeeper,,,,,,,,,,,,,,,,
Keylor Navas Gamboa,Goalkeeper,La Liga,,,2367,41.7,66,0.7192331907395927,0.0823433866885637,Goalkeeper,,,,,,,,,,,,,,,,
Kirstie Levell,Goalkeeper,FA Women's Super League,,,1107,41.6,67,0.7124908665299624,0.0853271420198467,Goalkeeper,,,,,,,,,,,,,,,,
Hannah Hampton,Goalkeeper,FA Women's Super League,,,3618,41.5,68,0.7050106920960192,0.0885488934980347,Goalkeeper,,,,,,,,,,,,,,,,
Martin Dúbravka,Goalkeeper,UEFA Euro,,,445,41.5,68,0.5983251270947263,0.1417622332278472,Goalkeeper,,,,,,,,,,,,,,,,
Mathew Ryan,Goalkeeper,FIFA World Cup,,,857,41.2,70,0.6487038286536974,0.115517896310912,Goalkeeper,,,,,,,,,,,,,,,,
Víctor Valdés Arribas,Goalkeeper,La Liga,,,10594,41.0,71,0.7512279503208864,0.0633154123072169,Goalkeeper,,,,,,,,,,,,,,,,
Katelyn Rowland,Goalkeeper,NWSL,,,485,40.7,72,0.7532863792976696,0.0610210229740646,Goalkeeper,,,,,,,,,,,,,,,,
Félix Miéli Venerando,Goalkeeper,FIFA World Cup,,,298,40.6,73,0.8502145098445918,0.0124437552620874,Goalkeeper,,,,,,,,,,,,,,,,
Karen Bardsley,Goalkeeper,FA Women's Super League,,,497,40.5,74,0.8239721993280356,0.0251906506509185,Goalkeeper,,,,,,,,,,,,,,,,
Almuth Schult,Goalkeeper,Women's World Cup,,,388,40.2,75,0.7094896565169702,0.0808725125495691,Goalkeeper,,,,,,,,,,,,,,,,
António Alberto Bastos Pimparel,Goalkeeper,La Liga,,,384,40.2,75,0.7036203882415443,0.0839480358341965,Goalkeeper,,,,,,,,,,,,,,,,
Samir Handanovič,Goalkeeper,Serie A,,,1381,40.2,75,0.7464897005428319,0.062171913681932,Goalkeeper,,,,,,,,,,,,,,,,
Dheeraj Singh Moirangthem,Goalkeeper,Indian Super league,,,558,40.0,78,0.7426286913708268,0.0634437702950825,Goalkeeper,,,,,,,,,,,,,,,,
Rut Hedvig Lindahl,Goalkeeper,FA Women's Super League,,,1167,39.8,79,0.7671879947708646,0.0502963316489595,Goalkeeper,,,,,,,,,,,,,,,,
Jan Jongbloed,Goalkeeper,FIFA World Cup,,,224,39.0,80,0.836407264458399,0.0124437552620874,Goalkeeper,,,,,,,,,,,,,,,,
Roman Bürki,Goalkeeper,1. Bundesliga,,,1574,38.5,81,0.7702977206168933,0.0430092906995174,Goalkeeper,,,,,,,,,,,,,,,,
Abby Smith,Goalkeeper,NWSL,,,303,38.2,82,0.6892396071793013,0.0824771646527144,Goalkeeper,,,,,,,,,,,,,,,,
Rui Pedro dos Santos Patrício,Goalkeeper,UEFA Euro,,,273,38.2,82,0.6816927640642451,0.085994321829239,Goalkeeper,,,,,,,,,,,,,,,,
Heorhii Bushchan,Goalkeeper,UEFA Euro,,,213,38.0,84,0.6490208318739156,0.1017138363736428,Goalkeeper,,,,,,,,,,,,,,,,
Anne Moorhouse,Goalkeeper,FA Women's Super League,,,994,37.9,85,0.6662902586272269,0.0925451135811784,Goalkeeper,,,,,,,,,,,,,,,,
Cecilie Fiskerstrand,Goalkeeper,FA Women's Super League,,,627,37.6,86,0.720319562656531,0.0643778785173917,Goalkeeper,,,,,,,,,,,,,,,,
Maxime Crépeau,Goalkeeper,Copa America,,,211,37.5,87,0.6646618253395536,0.0915251484886267,Goalkeeper,,,,,,,,,,,,,,,,
Arshdeep Singh Saini,Goalkeeper,Indian Super league,,,379,37.3,88,0.6873968769360788,0.0795423897366054,Goalkeeper,,,,,,,,,,,,,,,,
Rebecca Leigh Spencer,Goalkeeper,FA Women's Super League,,,3010,37.3,88,0.7516087626727167,0.0474232392587019,Goalkeeper,,,,,,,,,,,,,,,,
Lionel Mpasi-Nzau,Goalkeeper,African Cup of Nations,,,247,37.0,90,0.6984262473134414,0.0724105956310904,Goalkeeper,,,,,,,,,,,,,,,,
Steve Mandanda,Goalkeeper,Ligue 1,,,2336,36.6,91,0.6750667625514315,0.0825263511434298,Goalkeeper,,,,,,,,,,,,,,,,
Andrea Consigli,Goalkeeper,Serie A,,,1946,36.2,92,0.7016568737951115,0.0675250409214111,Goalkeeper,,,,,,,,,,,,,,,,
Matthew Charles Turner,Goalkeeper,FIFA World Cup,,,335,36.1,93,0.6437162345580668,0.0961646854946456,Goalkeeper,,,,,,,,,,,,,,,,
Mohammad Nawaz,Goalkeeper,Indian Super league,,,828,36.0,94,0.678127857989598,0.078468580150055,Goalkeeper,,,,,,,,,,,,,,,,
Hugo Lloris,Goalkeeper,Premier League,,,2541,35.3,95,0.6740504791379932,0.0773527315781863,Goalkeeper,,,,,,,,,,,,,,,,
Wojciech Szczęsny,Goalkeeper,Serie A,,,2299,35.2,96,0.6966818850399492,0.065610011003328,Goalkeeper,,,,,,,,,,,,,,,,
Rune Almenning Jarstein,Goalkeeper,1. Bundesliga,,,2261,34.7,97,0.637019291925592,0.0933784137603147,Goalkeeper,,,,,,,,,,,,,,,,
Sophie Harris,Goalkeeper,FA Women's Super League,,,226,34.2,98,0.6283237206606889,0.0955629097024229,Goalkeeper,,,,,,,,,,,,,,,,
Stephanie Lynn Marie Labbé,Goalkeeper,Women's World Cup,,,208,34.1,99,0.6882242050189604,0.0650543688244487,Goalkeeper,,,,,,,,,,,,,,,,
Anthony Lopes,Goalkeeper,Ligue 1,,,1676,33.7,100,0.7078335230004,0.0535673575119555,Goalkeeper,,,,,,,,,,,,,,,,
Stanley Bobo Nwabali,Goalkeeper,African Cup of Nations,,,268,32.8,101,0.636601922989117,0.0855862713067661,Goalkeeper,,,,,,,,,,,,,,,,
Ibrahim Kone,Goalkeeper,African Cup of Nations,,,280,32.7,102,0.6120890380111158,0.0971198979566718,Goalkeeper,,,,,,,,,,,,,,,,
Sergio Rico González,Goalkeeper,La Liga,,,1693,32.7,102,0.6646153553340723,0.0708818337436041,Goalkeeper,,,,,,,,,,,,,,,,
Courtney Brosnan,Goalkeeper,FA Women's Super League,,,1057,32.6,104,0.6541790557645789,0.0756050906116558,Goalkeeper,,,,,,,,,,,,,,,,
Rubén Blanco Veiga,Goalkeeper,La Liga,,,530,31.5,105,0.6152355449820492,0.0905138933749844,Goalkeeper,,,,,,,,,,,,,,,,
Inês Teixeira Pereira,Goalkeeper,UEFA Women's Euro,,,205,31.2,106,0.6171491966213283,0.0881607029498132,Goalkeeper,,,,,,,,,,,,,,,,
Mackenzie Arnold,Goalkeeper,FA Women's Super League,,,1617,30.3,107,0.7142329308417438,0.0359984909147031,Goalkeeper,,,,,,,,,,,,,,,,
Marie Hourihan,Goalkeeper,FA Women's Super League,,,713,30.2,108,0.676552984407194,0.0542651464219009,Goalkeeper,,,,,,,,,,,,,,,,
Oliver Baumann,Goalkeeper,1. Bundesliga,,,2359,30.1,109,0.6533771999854892,0.0654936188886365,Goalkeeper,,,,,,,,,,,,,,,,
Javier Varas Herrera,Goalkeeper,La Liga,,,2186,28.7,110,0.6172707467171256,0.0776325555639527,Goalkeeper,,,,,,,,,,,,,,,,
Jennifer Miley Falk,Goalkeeper,UEFA Women's Euro,,,221,28.4,111,0.6203889888934708,0.0746774498172199,Goalkeeper,,,,,,,,,,,,,,,,
Lukáš Hrádecký,Goalkeeper,1. Bundesliga,,,3543,28.4,111,0.6934811695080954,0.0381306813819989,Goalkeeper,,,,,,,,,,,,,,,,
Ashlyn Harris,Goalkeeper,NWSL,,,269,26.3,113,0.6672693962006577,0.0421553656801448,Goalkeeper,,,,,,,,,,,,,,,,
Kailen Mary Iacovoni Sheridan,Goalkeeper,NWSL,,,460,25.6,114,0.5987139986978918,0.073331278435005,Goalkeeper,,,,,,,,,,,,,,,,
Jane Campbell,Goalkeeper,NWSL,,,273,24.2,115,0.5978643466506349,0.0677883103171866,Goalkeeper,,,,,,,,,,,,,,,,
Edwin van der Sar,Goalkeeper,Champions League,,,234,19.7,116,0.5007139836237178,0.0969343855525867,Goalkeeper,,,,,,,,,,,,,,,,
Christian Mathenia,Goalkeeper,1. Bundesliga,,,1409,100.0,1,,,Goalkeeper,8.716065420166599,64.87059063488317,0.9840438581556136,,,,,,,,,,,,,
Ben Foster,Goalkeeper,Premier League,,,529,92.1,2,,,Goalkeeper,8.55959353945817,59.38796149316342,0.9749352574344294,,,,,,,,,,,,,
Ørjan Håskjold Nyland,Goalkeeper,1. Bundesliga,,,338,89.8,3,,,Goalkeeper,7.669710110549428,63.672201546514174,0.9663420301637768,,,,,,,,,,,,,
Rémy Vercoutre,Goalkeeper,Ligue 1,,,1398,79.6,4,,,Goalkeeper,7.121203750852766,57.02493487512919,0.9719206338147304,,,,,,,,,,,,,
Ricardo López Felipe,Goalkeeper,La Liga,,,306,78.9,5,,,Goalkeeper,6.964102155942901,58.49521873838765,0.960385544422436,,,,,,,,,,,,,
Ramazan Özcan,Goalkeeper,1. Bundesliga,,,1650,78.3,6,,,Goalkeeper,6.493994192713389,60.933427589565895,0.9601680389498412,,,,,,,,,,,,,
Asier Riesgo Unamuno,Goalkeeper,La Liga,,,1648,76.1,7,,,Goalkeeper,6.966021095047443,56.34027592587324,0.9551710466817996,,,,,,,,,,,,,
Geoffrey Jourdren,Goalkeeper,Ligue 1,,,338,75.4,8,,,Goalkeeper,7.896570646454438,51.79743905201484,0.935640889621082,,,,,,,,,,,,,
Manuel Fernández Muñíz,Goalkeeper,La Liga,,,349,74.8,9,,,Goalkeeper,6.227609837526505,58.6177182255404,0.966732752909355,,,,,,,,,,,,,
Jonathan Ligali,Goalkeeper,Ligue 1,,,227,74.3,10,,,Goalkeeper,7.34959095298598,52.104199812647366,0.9570250367694212,,,,,,,,,,,,,
Gustavo Adolfo Munúa Vera,Goalkeeper,La Liga,,,276,74.2,11,,,Goalkeeper,5.6185919791937255,62.80382454535987,0.9575687026738762,,,,,,,,,,,,,
Rob Elliot,Goalkeeper,Premier League,,,938,74.2,11,,,Goalkeeper,7.402738259263567,53.519222161309216,0.9388545460801204,,,,,,,,,,,,,
Glyn Oliver Myhill,Goalkeeper,Premier League,,,900,74.1,13,,,Goalkeeper,6.5985620740901565,58.38476185740284,0.939505427408622,,,,,,,,,,,,,
Rehnesh Thumbirumbu Paramba,Goalkeeper,Indian Super league,,,691,72.9,14,,,Goalkeeper,6.409100913005825,60.4611098620697,0.919395173716721,,,,,,,,,,,,,
David Soria Solís,Goalkeeper,La Liga,,,210,69.7,15,,,Goalkeeper,6.456144878977924,54.66664256952826,0.9439252515304252,,,,,,,,,,,,,
Vid Belec,Goalkeeper,Serie A,,,1125,69.6,16,,,Goalkeeper,6.714576723132863,53.48512822882658,0.939055016460016,,,,,,,,,,,,,
Jakob Haugaard,Goalkeeper,Premier League,,,208,69.5,17,,,Goalkeeper,5.70784102078867,58.78163000815667,0.9487182188948756,,,,,,,,,,,,,
Jérôme Prior,Goalkeeper,Ligue 1,,,546,69.4,18,,,Goalkeeper,7.0604843456363815,52.12587284240671,0.9289927348584914,,,,,,,,,,,,,
Johny Placide,Goalkeeper,Ligue 1,,,773,69.4,18,,,Goalkeeper,7.469811210380508,50.147315043145,0.9229410779148204,,,,,,,,,,,,,
Robin Olsen,Goalkeeper,UEFA Euro,,,327,69.1,20,,,Goalkeeper,5.910602796436446,55.98047148944836,0.9593200216772148,,,,,,,,,,,,,
Iván Cuéllar Sacristán,Goalkeeper,La Liga,,,1767,68.5,21,,,Goalkeeper,6.035155817741843,56.71968026805821,0.9386735292198792,,,,,,,,,,,,,
Germán Darío Lux,Goalkeeper,La Liga,,,1609,68.3,22,,,Goalkeeper,5.990211829540449,55.11716093171887,0.955540938580696,,,,,,,,,,,,,
Clément Maury,Goalkeeper,Ligue 1,,,1926,68.1,23,,,Goalkeeper,6.931913347433676,51.2017789901621,0.9339127176696906,,,,,,,,,,,,,
Karl Darlow,Goalkeeper,Premier League,,,340,68.0,24,,,Goalkeeper,6.394970313197159,55.11772605116198,0.9278883899069306,,,,,,,,,,,,,
Heurelho da Silva Gomes,Goalkeeper,Premier League,,,1503,68.0,24,,,Goalkeeper,5.941232624504119,56.37523093345823,0.9439905473949366,,,,,,,,,,,,,
Daniel Aranzubia Aguado,Goalkeeper,La Liga,,,335,67.7,26,,,Goalkeeper,4.967894162732311,60.42333644600089,0.9613080189131924,,,,,,,,,,,,,
Orestis Karnezis,Goalkeeper,Serie A,,,1478,67.1,27,,,Goalkeeper,7.017880434160292,52.428736810970406,0.9076250815089322,,,,,,,,,,,,,
Nicola Leali,Goalkeeper,Serie A,,,1321,66.8,28,,,Goalkeeper,6.218669251019246,53.02029917400668,0.9482329135026536,,,,,,,,,,,,,
Alex McCarthy,Goalkeeper,Premier League,,,306,66.7,29,,,Goalkeeper,5.472262175787297,59.154209790445066,0.9333577173274776,,,,,,,,,,,,,
Mark Bunn,Goalkeeper,Premier League,,,350,66.3,30,,,Goalkeeper,6.149403857126557,54.81693205472115,0.9303274142971744,,,,,,,,,,,,,
Vito Mannone,Goalkeeper,Premier League,,,889,66.3,30,,,Goalkeeper,5.416455849887796,56.5364374650178,0.9590793890207132,,,,,,,,,,,,,
Jonas Lössl,Goalkeeper,Ligue 1,,,1549,66.0,32,,,Goalkeeper,6.526234639431298,53.353427163681474,0.9185143695592026,,,,,,,,,,,,,
Albano Benjamín Bizzarri,Goalkeeper,Serie A,,,1504,65.7,33,,,Goalkeeper,7.146197758549918,49.54416310770773,0.914763509846842,,,,,,,,,,,,,
Dudú Aouate,Goalkeeper,La Liga,,,402,65.2,34,,,Goalkeeper,5.216828735145358,59.57812954278674,0.9313633938981448,,,,,,,,,,,,,
Florin Constantin Niţă,Goalkeeper,UEFA Euro,,,214,64.9,35,,,Goalkeeper,8.462029626730693,48.53106450671128,0.835859268832161,,,,,,,,,,,,,
Marko Dmitrović,Goalkeeper,La Liga,,,232,64.8,36,,,Goalkeeper,5.721415762964447,59.01964981160656,0.9015673764139294,,,,,,,,,,,,,
Stefano Sorrentino,Goalkeeper,Serie A,,,1443,63.9,37,,,Goalkeeper,6.499061716863671,49.02519616749719,0.9430867492857584,,,,,,,,,,,,,
Jaroslav Drobný,Goalkeeper,1. Bundesliga,,,449,63.6,38,,,Goalkeeper,5.707594460805061,54.41684750737197,0.9368462268421504,,,,,,,,,,,,,
Bradley Guzan,Goalkeeper,Premier League,,,1198,63.4,39,,,Goalkeeper,6.0547385703153855,51.21249465429787,0.9446131285828888,,,,,,,,,,,,,
Kasper Schmeichel,Goalkeeper,Premier League,,,2513,63.2,40,,,Goalkeeper,5.583315974221832,56.95915430372655,0.9160526343507528,,,,,,,,,,,,,
Benjamin Lecomte,Goalkeeper,Ligue 1,,,1784,62.9,41,,,Goalkeeper,6.579482448916607,49.125817255384845,0.92798443498019,,,,,,,,,,,,,
Antonio Adán Garrido,Goalkeeper,La Liga,,,1852,62.9,41,,,Goalkeeper,5.806060162623191,54.250457249342645,0.925523541952245,,,,,,,,,,,,,
Costel Fane Pantilimon,Goalkeeper,Premier League,,,784,62.9,41,,,Goalkeeper,6.00635998356906,52.305625543464544,0.9327083666781268,,,,,,,,,,,,,
Iago Herrerín Buisán,Goalkeeper,La Liga,,,229,62.7,44,,,Goalkeeper,5.0552263770839065,56.90050453841116,0.9445558821610558,,,,,,,,,,,,,
Jack Butland,Goalkeeper,Premier League,,,1446,62.5,45,,,Goalkeeper,6.422263229692112,52.21800101172748,0.9042003988315608,,,,,,,,,,,,,
Prabhushkan Singh Gill,Goalkeeper,Indian Super league,,,760,62.4,46,,,Goalkeeper,6.672958989013561,56.594054141243824,0.8437760005365722,,,,,,,,,,,,,
Jesús Lázaro Owono Ngua Akeng,Goalkeeper,African Cup of Nations,,,224,61.8,47,,,Goalkeeper,6.285914647904002,52.216116073469934,0.9060237524398184,,,,,,,,,,,,,
Laurent Pionnier,Goalkeeper,Ligue 1,,,949,61.7,48,,,Goalkeeper,6.275747345923575,49.780787812109736,0.9292635509434192,,,,,,,,,,,,,
Fraser Forster,Goalkeeper,Premier League,,,679,61.7,48,,,Goalkeeper,4.817361503472448,56.87468301996718,0.9497661548858124,,,,,,,,,,,,,
Darren Randolph,Goalkeeper,Premier League,,,270,61.6,50,,,Goalkeeper,5.130955278437712,57.41190313807763,0.9240774142971746,,,,,,,,,,,,,
Declan Rudd,Goalkeeper,Premier League,,,481,61.6,50,,,Goalkeeper,5.172219604027023,55.00364617678149,0.9460958773710268,,,,,,,,,,,,,
Mauro Daniel Goicoechea Furia,Goalkeeper,Ligue 1,,,331,61.0,52,,,Goalkeeper,5.390787687717356,52.3270691831204,0.9526643567989852,,,,,,,,,,,,,
Alberto García Cabrera,Goalkeeper,La Liga,,,338,60.9,53,,,Goalkeeper,5.83759122154984,53.73698219252414,0.9107140742514512,,,,,,,,,,,,,
Francisco Casilla Cortés,Goalkeeper,La Liga,,,344,59.6,54,,,Goalkeeper,6.128014256210377,53.577372190216025,0.8814664512667467,,,,,,,,,,,,,
